"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CPNE7",637.902998588356,0.841771914570216,0.121380998298415,6.93495626474187,4.06346853457844e-12,6.2219830201465e-08
"COL24A1",161.499031927049,1.08838345422426,0.185767927299044,5.85883403044173,4.66128256878783e-09,3.56867793466396e-05
"NDNF",476.534215915632,0.981133494227663,0.176721719749516,5.55185574030352,2.8265281145013e-08,0.000116722484729197
"GM21992",59.7429740191344,2.01565200839458,0.363928769735678,5.53858935048897,3.04917671706365e-08,0.000116722484729197
"PISD-PS1",653.305580218552,0.683600343225249,0.128454824941659,5.32171791550626,1.02791879526923e-07,0.000314789851863248
"FABP7",598.131704224476,0.965047184541613,0.184983621364355,5.2169331393983,1.81909884936024e-07,0.000464234026356734
"CRTAC1",841.244667941869,0.686184500261839,0.132939795790131,5.16161843173811,2.4482392440915e-07,0.000535534847221843
"ATF7",546.677912397522,0.725657494506417,0.148177046782019,4.89723280538802,9.71956621341234e-07,0.00186032497324712
"APPL2",1368.20184846246,0.439102758416866,0.10199434638402,4.30516762922913,1.66859338268207e-05,0.0170330012504186
"MARCKSL1",859.055719455106,0.576665452873538,0.130681185648801,4.41276569393314,1.02058429579688e-05,0.0170330012504186
"MS4A15",64.400949128934,6.6919120956741,1.52347713304111,4.39252546069789,1.12041504128944e-05,0.0170330012504186
"GM14308",130.555059387837,1.59426209205114,0.367615957563385,4.33675976042541,1.4459851836018e-05,0.0170330012504186
"TRDN",23.6108144868417,3.56243468724882,0.840577950054057,4.23807772618794,2.25441726758639e-05,0.0186464229644235
"CPNE6",2036.52553748273,0.446735623305281,0.107018929253992,4.17436080158331,2.98823859255153e-05,0.0228779546645745
"WDR90",324.775129455047,0.786719707363945,0.191691805875715,4.10408626372908,4.05915993511803e-05,0.0282517531484215
"AQP1",35.2532112830075,2.86992077715244,0.706772269155964,4.06060184078774,4.89463811593151e-05,0.0301009965664384
"EOMES",116.390981249377,4.29696457718616,1.05765454447833,4.06272974443235,4.85021722739523e-05,0.0301009965664384
"OMP",93.5176150903672,5.0372646885821,1.25637979627271,4.00934868860999,6.08864530861996e-05,0.0332049058030861
"ODF2L",254.15025089503,0.748451259885024,0.191244877480211,3.91357546275962,9.09394628338993e-05,0.0449182275778279
"RAPGEF3",414.094788908747,0.564519585699441,0.144964602053349,3.89418918621036,9.85277335437897e-05,0.0471455205007034
